Customer,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,State,Gender
RB50392,Master,7714,0,1000,0,Personal Auto,Four-Door Car,2,Washington,F
QZ44356,Bachelor,697953,0,94,0,Personal Auto,Four-Door Car,1131,Arizona,F
AI49188,Bachelor,1288743,48767,108,0,Personal Auto,Two-Door Car,566,Nevada,F
WW63253,Bachelor,764586,0,106,0,Corporate Auto,SUV,529,California,M
GA49547,High School or Below,536307,36357,68,0,Personal Auto,Four-Door Car,17,Washington,M
OC83172,Bachelor,825629,62902,69,0,Personal Auto,Two-Door Car,159,Oregon,F
XZ87318,College,538089,55350,67,0,Corporate Auto,Four-Door Car,321,Oregon,F
CF85061,Master,721610,0,101,0,Corporate Auto,Four-Door Car,363,Arizona,M
DY87989,Bachelor,2412750,14072,71,0,Corporate Auto,Four-Door Car,511,Oregon,M
BQ94931,College,738817,28812,93,0,Special Auto,Four-Door Car,425,Oregon,F
SX51350,College,473899,0,67,0,Personal Auto,Four-Door Car,482,California,M
VQ65197,College,819719,0,110,0,Personal Auto,SUV,528,California,F
DP39365,Master,879879,77026,110,2,Corporate Auto,Four-Door Car,472,California,F
SJ95423,High School or Below,881901,99845,110,1,Corporate Auto,SUV,528,Arizona,F
IL66569,College,538443,83689,70,2,Corporate Auto,Four-Door Car,307,California,F
BW63560,Bachelor,746313,24599,64,1,Corporate Auto,Four-Door Car,42,Oregon,F
FV94802,High School or Below,256686,25049,67,0,Personal Auto,Two-Door Car,454,Nevada,F
OE15005,College,394524,28855,101,0,Personal Auto,SUV,647,California,F
WC83389,College,571033,51148,72,0,Personal Auto,Four-Door Car,308,Oregon,F
FL50705,High School or Below,816261,66140,101,0,Corporate Auto,Four-Door Car,484,California,F
ZK25313,High School or Below,287205,57749,74,0,Personal Auto,Two-Door Car,355,Oregon,F
QK46697,Bachelor,617710,61040,79,1,Personal Auto,Two-Door Car,20,Washington,M
YH23384,Bachelor,2412750,14072,71,0,Personal Auto,Four-Door Car,511,Arizona,F
TZ98966,Bachelor,245019,0,73,3,Corporate Auto,Four-Door Car,554,Nevada,F
HM55802,Bachelor,239210,17870,61,0,Corporate Auto,Four-Door Car,439,California,F
FS42516,College,580206,97541,72,0,Personal Auto,Four-Door Car,389,Oregon,F
US89481,Bachelor,394637,0,111,0,Personal Auto,Four-Door Car,799,California,F
HS14476,College,916206,29723,80,0,Personal Auto,Four-Door Car,20,Washington,M
GE62437,College,1290256,86584,111,2,Personal Auto,Four-Door Car,532,Arizona,F
EJ77678,Master,323536,75690,80,1,Personal Auto,Four-Door Car,384,Oregon,F
SV85652,College,245458,23158,63,1,Personal Auto,Four-Door Car,322,Arizona,F
UL64533,High School or Below,1897545,65999,237,0,Corporate Auto,Luxury,615,Nevada,F
PF41800,Bachelor,471532,0,65,0,Personal Auto,Four-Door Car,308,California,F
HD95276,College,473787,0,130,0,Personal Auto,SUV,23,Washington,F
SK67821,Bachelor,493291,37260,62,0,Corporate Auto,Four-Door Car,15,Oregon,F
YV55495,High School or Below,574422,68987,71,0,Personal Auto,Four-Door Car,204,Arizona,F
KY38074,Bachelor,1389173,42305,117,0,Personal Auto,Four-Door Car,561,California,F
DM79012,Master,738097,65706,91,0,Personal Auto,Four-Door Car,436,Oregon,F
CM61827,Bachelor,309003,0,90,0,Personal Auto,Two-Door Car,648,Oregon,F
WC35801,High School or Below,252163,53243,66,2,Personal Auto,Four-Door Car,157,Arizona,F
QG25316,High School or Below,265206,0,70,1,Corporate Auto,Two-Door Car,484,Nevada,F
MB98372,College,277104,50071,71,0,Corporate Auto,Two-Door Car,18,Oregon,F
